Gene,KKU156,KKU213,KKU214,HuCCA1,RBE,KKK138,HuCCT1,HuH28,KKK068,KKK131,KKU055,KKU100,SSP25,TFK1,YSCCC
PHF10,8.514778965,8.311626115,8.155275916,8.652051251,8.655341762,8.313760401,7.602186197,8.878194455,9.805770833,8.402021512,8.441373375,8.864010266,8.78011418,8.963646725,9.42103691
PHF11,3.774907899,2.339988613,3.160220569,2.258857291,2.62425485,2.21502432,2.94933636,2.976662911,2.810498701,1.910226307,1.251216629,2.963226254,1.895472159,0.801223596,2.082507901
PHF12,2.248934957,2.105831789,2.12528307,2.021721909,2.337284204,2.299237251,2.001673974,1.827509241,2.290122913,2.565450786,2.90494913,2.710845202,1.344971158,1.634615127,2.370463728
PHF13,1.894501328,3.246854418,2.637832538,1.756536238,1.569889595,1.927858057,1.619001855,2.443813283,2.771158916,1.444800183,3.108212813,2.236821618,1.907317512,0.954982269,1.789050355
PHF14,4.355652079,4.274056603,3.579316488,3.946892247,3.429441528,4.077546931,3.766639359,3.001176743,3.070988483,4.469419508,4.261826848,3.585602495,3.671649647,3.657926919,2.386023329
PHF19,1.8359674,3.569995474,2.957770501,2.11831657,3.696514032,2.569913635,2.321065464,2.640229755,3.767640165,3.305358595,3.130229926,2.051770425,2.084439871,1.828689933,0.640000969
PHF2,2.424429158,3.30039042,2.433271668,2.280672884,2.880649442,2.793898444,2.789130483,2.415585118,2.383697435,2.526138918,2.997934714,2.543137933,2.179890711,1.382753649,2.183399503
PHF20,3.343746826,2.947310047,2.908994828,2.927224665,2.134908537,2.521583044,3.142872568,2.634803192,3.041305344,2.702616419,2.740691992,3.549849541,2.984342381,2.590086217,4.064984454
PHF20L1,2.611562494,3.113262486,2.715990366,2.946380831,2.567792739,3.520407972,3.19017877,2.991226691,2.989640202,3.261992975,3.768413369,3.015110714,2.992684807,2.237744667,3.151499996
PHF21A,1.442172623,1.510180297,1.197578721,1.091663996,1.700321369,2.172437884,1.758254013,1.992784951,0.921968119,1.472867622,3.047781976,2.167999912,1.756296271,0.985152435,1.590498461
PHF23,4.183515926,3.61105385,3.131224307,4.449706588,3.929883756,4.3398953,4.42151164,4.835035268,4.102697062,4.720371476,3.966717604,4.434670688,4.226348152,1.521097024,3.138919243
PHF3,5.081709447,4.904440216,4.606964452,3.081045035,4.549025133,4.119749821,4.481906932,3.879985055,3.917398769,5.731485337,4.047166682,4.797889434,4.652432359,3.817585403,3.672798698
PHF5A,4.559181032,2.968520443,3.454665552,4.15491911,3.670760111,4.07734692,4.302196306,3.181419266,3.232263352,4.96897642,4.605842707,5.388454495,4.152683252,4.561180651,3.380393971
PHF6,3.58033443,4.041729886,3.857692188,3.389787103,3.288053399,3.063862163,4.429137952,4.142940929,3.314801379,3.480095192,4.801592396,2.153200149,4.017748961,1.722543737,2.78984666
PHF8,2.534963364,2.861034038,2.535440118,1.660926581,1.9413813,2.106558119,1.176528778,1.319001576,2.545691635,0.988395859,3.838409846,1.875692542,1.582523339,1.199480774,1.071440912
PHGDH,2.96271412,5.31735037,3.9187045,5.311225989,5.475762782,6.051412068,3.729398971,3.388305473,5.376699896,4.392196208,5.175400333,5.414252202,2.824546263,3.240259403,2.452464105
