"Gene","mean.CCA1","mean.CCA2","ratio","wilcox.pvalue","VIP.rf","Accuracy.rf","VIP.plsda","Accuracy.plsda","Drug"
"FDX1",2.75018097831148,3.33533942999606,0.824558050547415,0.024027671425442,73.9399744572158,1,16.5994844725927,1,"Celastrol"
"GCLM",4.95880739980043,6.42347053681677,0.77198258657505,0.024027671425442,16.1728395061728,1,28.1763541043164,1,"Celastrol"
"SERTAD1",1.86062614497787,3.18096047062763,0.584925893345274,0.024027671425442,53.0779054916986,1,57.8414266188228,1,"Celastrol"
"TPM1",6.22362061046566,4.20993290171447,1.47831824301312,0.024027671425442,9.19965942954449,1,40.4284445031584,1,"Celastrol"
"VCL",5.89445384708232,5.11673630140366,1.15199484590701,0.024027671425442,9.45083014048531,1,26.9303891830381,1,"Celastrol"
"NFIL3",2.85889183522943,4.05374254191879,0.705247510335525,0.0322773460947972,24.4125159642401,1,42.9976374908075,1,"Celastrol"
"TSKU",3.30454071322424,4.61045338102723,0.716749620942479,0.0322773460947972,32.1902937420179,1,27.5582904761026,1,"Celastrol"
"TFAP2C",1.26010821877996,2.49632008680384,0.504786315441359,0.0409970611329001,32.0263942103023,1,48.0211881787532,1,"Celastrol"
"ABCB6",1.54053860082114,2.70610224084568,0.569283221294592,0.0428436018280164,76.5644955300128,1,32.9431724333124,1,"Celastrol"
"ACTB",9.8157866123693,9.21991813330566,1.06462839153757,0.0428436018280164,2.46487867177522,1,0,1,"Celastrol"
"AKR1A1",2.8877972916677,3.56900575273243,0.809132148205926,0.0428436018280164,19.0932311621967,1,0.815319109607043,1,"Celastrol"
"BLVRB",2.47613722913601,3.93283339271432,0.629606439398912,0.0428436018280164,68.1885908897403,1,60.7970554560699,1,"Celastrol"
"CASP9",0.930913123067326,1.64014857397358,0.567578533944647,0.0428436018280164,1.8688803746275,1,25.2098592707908,1,"Celastrol"
"CNN2",5.35236922044132,4.04567050645963,1.32298693427834,0.0428436018280164,43.1715623669647,1,44.6993704641206,1,"Celastrol"
"FOSL2",3.90057196407669,4.87198402350422,0.800612634454241,0.0428436018280164,0,1,15.4594784954302,1,"Celastrol"
"GCNT2",1.37619279500932,2.29943496449468,0.598491723514235,0.0428436018280164,95.9514687100894,1,48.1733243852191,1,"Celastrol"
"ICAM1",3.69182342316443,1.81909893278764,2.0294791869879,0.0428436018280164,26.6283524904215,1,58.3903751923374,1,"Celastrol"
"PSME2",5.13581490816791,5.90333278054844,0.869985667264174,0.0428436018280164,19.7062579821201,1,19.7782761990321,1,"Celastrol"
"SLC12A4",2.95545357775397,3.69475354312727,0.79990547224767,0.0428436018280164,10.7492550021286,1,39.8330378973174,1,"Celastrol"
"EGLN3",0.748159695786286,2.31580068990664,0.323067394809546,0.0471253041839123,55.4789272030651,1,52.6382001725013,1,"Celastrol"
"NOL8",4.30860185188856,3.30465851858069,1.30379639156758,0.00388498478046682,49.6380952380952,1,20.9443847935577,1,"Vorinostat"
"MDM2",5.10799176616547,4.22711925792878,1.20838600817435,0.00561421354836533,100,1,23.6087746479367,1,"Vorinostat"
"MAGI2",0.18366950547191,1.13022590437854,0.16250689774528,0.00889173463812428,35.6,1,26.2343176309404,1,"Vorinostat"
"SYT12",2.84521384852393,1.05884840013717,2.68708329554574,0.0112106034364914,31.3795918367347,1,29.56452924322,1,"Vorinostat"
"COX5A",5.91375640872891,4.81953912782648,1.22703774196681,0.0112833336286545,57.0204081632653,1,26.0852545305232,1,"Vorinostat"
"GINS3",5.03360493755593,4.22647575255333,1.19096978954984,0.0112833336286545,33.0761904761905,1,18.9496272737257,1,"Vorinostat"
"RHOD",3.50942327496043,1.66776174016433,2.10427136589344,0.0112833336286545,92.2857142857143,1,60.6229988384125,1,"Vorinostat"
"TAGLN",3.1656809527623,5.07201368966139,0.624146768218531,0.0112833336286545,91.1714285714286,1,35.4530697613147,1,"Vorinostat"
"TM7SF3",5.05994332492185,3.88734704214093,1.30164435283739,0.0112833336286545,27.4285714285714,1,26.9528339046742,1,"Vorinostat"
"EMP2",3.59150659482183,2.25668656464937,1.59149553645694,0.0156942952060346,21.9809523809524,1,20.0413598548568,1,"Vorinostat"
"MED13L",3.21963192632365,2.53656311497583,1.26928910513402,0.0156942952060346,40.7619047619048,1,17.2906644733951,1,"Vorinostat"
"NRIP1",4.18636106956983,2.64713546739593,1.58146839144885,0.0156942952060346,13.7523809523809,1,27.9932092688098,1,"Vorinostat"
"BTG2",2.41106734639939,1.00598790942965,2.39671602789576,0.021091152623681,44.1904761904762,1,44.1482850640679,1,"Vorinostat"
"DDIT3",8.69502620430556,8.20090311270211,1.06025227768368,0.0215562667600163,10.4557823129252,1,10.3790031447917,1,"Vorinostat"
"DDIT4",6.44014042593782,4.73411919603394,1.36036718959952,0.0215562667600163,5.70612244897959,1,41.9867338878326,1,"Vorinostat"
"PES1",5.34578136590727,4.78687947954976,1.11675704156439,0.0215562667600163,9.71428571428571,1,0,1,"Vorinostat"
"RPL6",8.0247178848565,7.2179650923814,1.11177011555883,0.0215562667600163,24.0666666666667,1,9.31301972676951,1,"Vorinostat"
"SESN1",1.92218166339613,1.15616518591801,1.66254933707408,0.0215562667600163,51.5156462585034,1,25.0195595049922,1,"Vorinostat"
"BASP1",3.17568191843293,7.10980128265775,0.44666254261973,0.029239238256099,11.0857142857143,1,100,1,"Vorinostat"
"FOXC1",3.57071762316415,2.28852232162915,1.56027214129257,0.029239238256099,25.9156462585034,1,23.1549316835366,1,"Vorinostat"
"KARS",6.3549612907571,5.50202672937782,1.15502188617607,0.029239238256099,0,1,18.2856642894435,1,"Vorinostat"
"MYC",6.36327521181719,5.11911704962055,1.24304155387282,0.029239238256099,37.1619047619048,1,17.7068292058065,1,"Vorinostat"
"NOP16",7.12150375096239,6.61930369423895,1.07586901582421,0.029239238256099,7.08571428571428,1,4.54527655494075,1,"Vorinostat"
"PLOD2",4.40942076078511,6.15450874049909,0.716453732816948,0.029239238256099,10.7428571428571,1,35.3458128750472,1,"Vorinostat"
"PSMD7",7.38826720107764,6.99618132499459,1.05604284078263,0.029239238256099,32.2666666666667,1,6.72437844378878,1,"Vorinostat"
"TUFM",6.22001790020449,5.38646215029636,1.15475013592405,0.029239238256099,47.7714285714286,1,20.8822041817747,1,"Vorinostat"
"DGKA",4.15267909536766,2.48618541878467,1.67030144412866,0.0384710615037608,30.6666666666667,1,41.4996510255781,1,"Vorinostat"
"GPC1",3.09484604327247,4.28601207496543,0.722080570269376,0.039170166029984,3.08571428571428,1,20.8785682500867,1,"Vorinostat"
"KLF4",5.55602113273247,3.75899708842823,1.47805944033217,0.039170166029984,13.7523809523809,1,39.5139924685485,1,"Vorinostat"
"RPLP0",8.10595546282627,7.48713677688429,1.0826509124092,0.039170166029984,44.5142857142857,1,5.46542175172179,1,"Vorinostat"
"SLC19A2",2.68954432472846,1.7402576592519,1.54548627350081,0.039170166029984,34.0571428571428,1,19.5085034112289,1,"Vorinostat"
"STOM",3.9748692799233,2.68226284319529,1.48190893745081,0.039170166029984,24.4952380952381,1,29.5810606828226,1,"Vorinostat"
"TPM2",1.68026913590115,4.72054698891399,0.355947973793544,0.0449352133253389,96.0544217687075,1,99.6221793754615,1,"Vorinostat"
"TFPI2",1.24342903260589,4.54801877900636,0.273400153566989,0.00581313514798447,67.5400291120815,0.714285714285714,100,0.857142857142857,"Caffeic APE"
"CDC34",4.91981086336724,3.63221327222142,1.354493939272,0.00585709908528414,15.2838427947598,0.714285714285714,5.77209188531648,0.857142857142857,"Caffeic APE"
"CD44",3.96885157686557,5.81321999522752,0.682728604822091,0.00845841560463314,72.4017467248908,0.714285714285714,37.387526158391,0.857142857142857,"Caffeic APE"
